id,income,slik_ojk,total_debt,total_credit,total_monthly_debt,loan_amount,property_value,loan_purpose,employment_status,job_tenure,home_ownership,marital_status,late_payment_risk
398,10.8,3,540000000,10285714,4320000,648000000,1080000000,Kredit Kendaraan,kontrak,66,sewa/kontrak,lajang,sedang
782,9.7,3,485000000,9238095,3880000,582000000,970000000,KPR,kontrak,54,sewa/kontrak,menikah,sedang
302,10.5,4,367500000,10000000,4200000,735000000,1050000000,Modal Kerja/Usaha,permanent,48,milik sendiri,menikah,rendah
97,6.8,2,476000000,6476190,2720000,612000000,680000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
574,13.5,3,675000000,12857143,5400000,810000000,1350000000,Modal Kerja/Usaha,kontrak,66,sewa/kontrak,menikah,sedang
67,7.4,2,518000000,7047619,2960000,666000000,740000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
752,10.3,5,360500000,9809524,4120000,721000000,1030000000,KPR,permanent,54,milik sendiri,menikah,rendah
773,11.1,3,555000000,10571429,4440000,666000000,1110000000,KPR,kontrak,60,sewa/kontrak,menikah,sedang
773,11.1,3,555000000,10571429,4440000,666000000,1110000000,KPR,kontrak,60,sewa/kontrak,menikah,sedang
520,15.0,5,525000000,14285714,6000000,1050000000,1500000000,KPR,permanent,72,milik sendiri,menikah,rendah
716,11.0,4,385000000,10476190,4400000,770000000,1100000000,KPR,permanent,54,milik sendiri,menikah,rendah
247,0.2,1,17000000,190476,80000,18000000,20000000,KPR,harian,18,tinggal bersama ortu,menikah,tinggi
590,12.2,3,610000000,11619048,4880000,732000000,1220000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
552,12.9,2,645000000,12285714,5160000,774000000,1290000000,Kredit Kendaraan,kontrak,54,sewa/kontrak,lajang,sedang
590,12.2,3,610000000,11619048,4880000,732000000,1220000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
94,8.1,3,567000000,7714286,3240000,729000000,810000000,Modal Kerja/Usaha,kontrak,54,sewa/kontrak,menikah,sedang
302,10.5,4,367500000,10000000,4200000,735000000,1050000000,Modal Kerja/Usaha,permanent,48,milik sendiri,menikah,rendah
827,11.2,1,784000000,10666667,4480000,1008000000,1120000000,Kredit Kendaraan,harian,48,tinggal bersama ortu,menikah,tinggi
269,2.3,2,161000000,2190476,920000,207000000,230000000,Kredit Kendaraan,harian,12,tinggal bersama ortu,menikah,tinggi
637,14.5,1,1015000000,13809524,5800000,1305000000,1450000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
157,5.9,1,501500000,5619048,2360000,531000000,590000000,KPR,harian,36,tinggal bersama ortu,menikah,tinggi
513,10.6,4,371000000,10095238,4240000,742000000,1060000000,KPR,permanent,48,milik sendiri,menikah,rendah
114,8.5,3,595000000,8095238,3400000,765000000,850000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
957,76.0,1,5320000000,72380952,30400000,6840000000,7600000000,Modal Kerja/Usaha,harian,48,tinggal bersama ortu,menikah,tinggi
111,6.4,2,448000000,6095238,2560000,576000000,640000000,Kredit Kendaraan,kontrak,36,sewa/kontrak,lajang,sedang
296,5.0,2,350000000,4761905,2000000,450000000,500000000,Kredit Kendaraan,harian,12,tinggal bersama ortu,lajang,tinggi
350,9.5,4,332500000,9047619,3800000,665000000,950000000,Modal Kerja/Usaha,permanent,42,milik sendiri,menikah,rendah
901,48.2,1,3374000000,45904762,19280000,4338000000,4820000000,KPR,harian,48,tinggal bersama ortu,menikah,tinggi
82,8.2,3,574000000,7809524,3280000,738000000,820000000,Modal Kerja/Usaha,kontrak,54,sewa/kontrak,menikah,sedang
175,3.8,1,323000000,3619048,1520000,342000000,380000000,KPR,harian,18,tinggal bersama ortu,menikah,tinggi
37,10.6,4,371000000,10095238,4240000,742000000,1060000000,Kredit Kendaraan,permanent,48,milik sendiri,menikah,rendah
745,18.6,4,651000000,17714286,7440000,1302000000,1860000000,Kredit Kendaraan,permanent,96,milik sendiri,menikah,rendah
562,10.2,3,510000000,9714286,4080000,612000000,1020000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
398,10.8,3,540000000,10285714,4320000,648000000,1080000000,Kredit Kendaraan,kontrak,66,sewa/kontrak,lajang,sedang
811,6.2,2,434000000,5904762,2480000,558000000,620000000,KPR,harian,30,tinggal bersama ortu,lajang,tinggi
117,6.3,2,441000000,6000000,2520000,567000000,630000000,Kredit Kendaraan,kontrak,36,sewa/kontrak,lajang,sedang
145,6.8,2,476000000,6476190,2720000,612000000,680000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
331,17.5,4,612500000,16666667,7000000,1225000000,1750000000,Kredit Kendaraan,permanent,84,milik sendiri,menikah,rendah
146,9.7,3,679000000,9238095,3880000,873000000,970000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
146,9.7,3,679000000,9238095,3880000,873000000,970000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
566,14.2,2,710000000,13523810,5680000,852000000,1420000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
301,11.4,5,399000000,10857143,4560000,798000000,1140000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
679,35.5,1,2485000000,33809524,14200000,3195000000,3550000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
